Date,Junctions Cut,NORTHERN,CENTRAL,NEW ZEALAND,SOUTH AUSTRALIA,SOUTHERN,WESTERN
13/09/2010,48,3,7,0,0,27,11
14/09/2010,39,5,2,0,0,21,11
15/09/2010,31,2,7,0,0,13,9
16/09/2010,35,3,3,0,0,21,8
17/09/2010,29,0,0,0,0,21,8
18/09/2010,0,0,0,0,0,0,0
19/09/2010,0,0,0,0,0,0,0
20/09/2010,18,0,0,0,0,5,13
21/09/2010,24,2,3,0,0,13,6
22/09/2010,46,2,4,0,0,32,8
23/09/2010,56,5,15,3,0,29,4
24/09/2010,47,6,14,1,0,19,7
25/09/2010,13,0,6,7,0,0,0
26/09/2010,0,0,0,0,0,0,0
27/09/2010,33.80246154,0,15.80246154,3,0,15,0
28/09/2010,26,0,3,7,0,14,2
29/09/2010,45.80246154,3,18.80246154,10,0,6,8
30/09/2010,39.85184615,5,20.85184615,4,0,9,1
1/10/2010,57,1,9,16,0,18,13
2/10/2010,16,0,0,10,0,0,6
3/10/2010,0,0,0,0,0,0,0
4/10/2010,41,0,5,9,0,12,15
5/10/2010,60.27776923,5,19.27776923,5,0,25,6
6/10/2010,51.80246154,2,17.80246154,1,0,24,7
7/10/2010,56.27776923,1,27.27776923,5,0,20,3
8/10/2010,60,4,8,4,0,32,12
9/10/2010,61.179,0,43.179,0,0,18,0
10/10/2010,0,0,0,0,0,0,0
11/10/2010,35,2,9,0,0,15,9
12/10/2010,51.90123077,8,12.90123077,1,0,22,8
13/10/2010,37.90123077,8,15.90123077,4,0,3,7
14/10/2010,50.22838462,10,18.22838462,7,0,13,2
15/10/2010,28.37653846,2,9.376538462,7,0,2,8
16/10/2010,1,0,0,0,0,0,1
17/10/2010,0,0,0,0,0,0,0
18/10/2010,63.37653846,5,14.37653846,3,0,33,8
19/10/2010,54.90123077,3,12.90123077,4,0,26,9
20/10/2010,55.85184615,7,11.85184615,1,0,22,14
21/10/2010,67.80246154,14,12.80246154,0,0,32,9
22/10/2010,28.95061538,0,2.950615385,2,0,17,7
23/10/2010,28,0,0,0,0,28,0
24/10/2010,0,0,0,0,0,0,0
25/10/2010,51.37653846,0,7.376538462,0,0,26,18
26/10/2010,55,1,10,0,0,35,9
27/10/2010,62,21,9,2,0,25,5
28/10/2010,46,0,20,3,0,18,5
29/10/2010,38,2,16,8,0,12,0
30/10/2010,13,0,8,5,0,0,0
31/10/2010,0,0,0,0,0,0,0
1/11/2010,34.37653846,4,19.37653846,0,0,0,11
2/11/2010,25.42592308,3,7.425923077,2,0,0,13
3/11/2010,43.37653846,9,16.37653846,1,0,8,9
4/11/2010,61.80246154,7,24.80246154,3,0,22,5
5/11/2010,33.37653846,1,7.376538462,5,0,19,1
6/11/2010,24,8,3,0,0,13,0
7/11/2010,0,0,0,0,0,0,0
8/11/2010,48.42592308,4,10.42592308,1,0,29,4
9/11/2010,44.95061538,7,8.950615385,1,0,18,10
10/11/2010,40.85184615,8,8.851846154,4,0,9,11
11/11/2010,51.75307692,13,17.75307692,1,0,12,8
12/11/2010,47.22838462,11,21.22838462,0,0,9,6
13/11/2010,9,0,0,0,0,0,9
14/11/2010,0,0,0,0,0,0,0
15/11/2010,31.95061538,9,2.950615385,0,0,18,2
16/11/2010,33.85184615,2,10.85184615,0,0,13,8
17/11/2010,31.316,0,10.316,0,0,12,9
18/11/2010,39.264,1,17.264,0,0,16,5
19/11/2010,50.316,4,17.316,0,0,18,11
20/11/2010,18,0,7,0,0,11,0
21/11/2010,0,0,0,0,0,0,0
